market_cap_rank,name,current_price,high_24h,low_24h,total_supply,circulating_supply,fully_diluted_valuation
90,Rocket Pool ETH,2086.94,2091.74,2012.4,435241.4547941534,435241.4547941534,907813554
91,Usual USD,0.9978,0.998254,0.997392,887020047.57375,887020047.57375,885004100
92,Bonk,0.0,1.149e-05,1.082e-05,88847924392391.0,77419592329436.58,999716833
93,Flare,0.0141,0.01424307,0.01302245,103242882141.1602,61146999089.19102,1455283031
94,Injective,8.76,8.85,8.42,100000000.0,97727220.33,875442588
95,The Graph,0.089,0.090427,0.084837,10788004319.0,9548531509.16547,959687512
96,Sei,0.1738,0.17942,0.168145,10000000000.0,4882361111.0,1737030223
97,Polygon Bridged USDT (Polygon),1.0,1.004,0.997494,814416382.050732,814416382.050732,814600846
98,Theta Network,0.8082,0.828239,0.783714,1000000000.0,1000000000.0,807460404
100,Lido DAO,0.8707,0.874145,0.842255,1000000000.0,897877243.8587132,870055742
99,Tether Gold,3158.55,3167.28,3112.34,246524.33,246524.33,778750646
101,Solv Protocol SolvBTC.BBN,82755.0,86241.0,80615.0,9364.596291885136,9364.596291885136,774738800
102,PayPal USD,0.9994,1.0,0.998649,757578876.938406,757578876.938406,757139871
103,Stargate Bridged USDC (Berachain),0.9997,1.004,0.996784,752981777.741971,752981777.741971,752741533
104,Binance Bridged USDC (BNB Smart Chain),0.9999,1.003,0.995555,748999999.839804,748999999.839804,748934186
105,Wrapped BNB,605.13,605.98,588.93,1226402.748056433,1226402.748056433,742461772
106,Berachain,6.86,7.41,6.62,500509297.5953384,107989297.5953384,3429591522
107,Mantle Staked Ether,1958.67,1962.71,1884.23,366009.309536331,366009.309536331,716970817
108,Jito,2.28,2.32,2.16,1000000000.0,310792622.2,2276449498
109,Tezos,0.6603,0.665558,0.63413,1057428882.062134,1037179729.840477,697572585
110,PAX Gold,3147.01,3158.6,3107.56,217065.871,217065.871,683078534
111,GALA,0.0154,0.0156626,0.01481645,43775279742.36532,43775279742.36532,673181851
112,Arbitrum Bridged WBTC (Arbitrum One),83337.0,83630.0,81264.0,8080.66233093,8080.66233093,672694472
113,The Sandbox,0.2736,0.275564,0.265017,3000000000.0,2445857126.2233224,820301343
114,BitTorrent,0.0,6.81969e-07,6.51959e-07,990000000000000.0,986061142857000.0,658855128
115,Curve DAO,0.5003,0.502721,0.449295,2243463970.601802,1307976420.0,1120586839
116,IOTA,0.1716,0.174076,0.164191,4600000000.0,3688810566.0,787728033
117,Bitcoin SV,31.72,32.21,30.56,19845225.0,19845218.75,629065463
118,Stables Labs USDX,0.9999,1.002,0.996374,625906371.945495,625906371.945495,625325544
119,Marinade Staked SOL,161.37,163.53,157.33,3770585.0,3770585.0,607643163
120,Kaia,0.1035,0.10397,0.100292,5856641936.044253,5856641747.106198,605551749
121,Flow,0.3829,0.386542,0.372103,1572540589.319016,1572540589.319016,601427844
122,Zcash,37.51,38.8,35.93,15979276.7280448,15973376.7280448,599312407
123,PancakeSwap,1.98,2.01,1.9,374098988.4594583,295570225.8656938,741665267
124,Walrus,0.4596,0.477573,0.401473,5000000000.0,1250000000.0,2292092265
125,FLOKI,0.0001,5.923e-05,5.665e-05,10000000000000.0,9664257097247.0,587047154
126,Renzo Restaked ETH,1920.16,1924.32,1854.12,293762.384663129,293762.384663129,564083908
127,Helium,3.05,3.27,2.98,223000000.0,179760921.9232821,680107505
128,Jupiter Staked SOL,138.31,139.73,134.8,3849446.598171347,3849446.598171347,531788791
129,Ethereum Name Service,15.98,16.05,15.23,100000000.0,33165585.054507963,1596703448
130,Honey,0.9998,1.001,0.997561,527136574.5849083,527136574.5849083,527010346
131,Beldex,0.076,0.078906,0.072066,9932707308.577938,6914687589.634062,755330358
132,JasmyCoin,0.0108,0.01118054,0.01025197,50000000000.0,48419999999.3058,541110756
133,Pyth Network,0.1417,0.147969,0.136554,10000000000.0,3624988786.43857,1416569548
134,Infrared Bera,6.89,7.45,6.69,74499912.05916253,74499912.05916253,512833454
135,Core,0.5022,0.520009,0.471074,2100000000.0,998056233.7090939,1053393868
136,Raydium,1.72,1.76,1.65,555000000.0,290825262.067807,951710945
137,TrueUSD,0.9969,0.99968,0.996312,495516083.0,495516083.0,494003308
138,dYdX,0.6397,0.654229,0.610197,764422898.8727906,764421782.7030406,488924433
139,Resolv USR,0.9996,1.0,0.998235,477804279.5376518,477804279.5376518,477648610
140,pumpBTC,82408.0,82794.0,79751.0,5785.40674182,5785.40674182,476727411
141,Axie Infinity,2.94,2.96,2.82,270000000.0,159971829.5928744,793366111
142,Kava,0.4341,0.436234,0.404944,1082853474.0,1082853474.0,469836113
143,Grass,1.7,1.76,1.64,1000000000.0,275475576.0,1699061805
144,Bridged USDC (Polygon PoS Bridge),1.0,1.004,0.997889,467596057.248224,467596057.248224,467726740
145,Decentraland,0.2481,0.25139,0.239128,2193179327.320146,1867990824.77693,542969204
146,Olympus,27.89,28.35,27.87,17525310.21229398,16376217.36631088,491249579
147,Telcoin,0.0049,0.00497772,0.00419725,100000000000.0,91899666665.01,492857499
148,MultiversX,16.08,16.73,15.76,28077841.0,28077841.0,451012119
149,Fartcoin,0.4444,0.482246,0.386075,999992926.57038,999992926.57038,443089728
150,Mantle Restaked ETH,1957.49,1960.84,1887.2,224446.4551028218,224446.4551028218,439404732
151,APENFT,0.0,4.38894e-07,4.27712e-07,999990000000000.0,990105682877398.0,438488563
152,Ronin,0.6968,0.712895,0.678568,1000000000.0,619389698.9641546,696050432
155,Binance-Peg Dogecoin,0.1676,0.170484,0.160925,2564000000.0,2564000000.0,429844212
153,dogwifhat,0.4296,0.443979,0.420029,998926392.0,998926392.0,428922966
154,Pendle,2.66,2.7,2.47,281527448.4585314,161328306.9149972,748243126
156,SPX6900,0.457,0.462322,0.41124,930993086.0063922,930993086.0063922,425250289
157,clBTC,84832.0,85043.0,81405.0,5000.0,5000.0,424075826
158,Avalanche Bridged BTC (Avalanche),83316.0,83714.0,81205.0,5074.52194297,5074.52194297,422744947
159,Arweave,6.45,6.58,6.14,65454185.5381511,65454185.5381511,421735091
160,Starknet,0.1525,0.153388,0.146572,10000000000.0,2743505868.988425,1523807614
161,Sonic Bridged USDC.e (Sonic),1.0,1.004,0.994158,412973421.077189,412973421.077189,413099708
162,L2 Standard Bridged WETH (Base),1844.45,1847.36,1776.85,222946.0394387305,222680.0467277766,410494767
164,Hashnote USYC,1.083,1.091,1.074,375525781.512949,375525781.512949,406252723
163,USDB,0.9991,1.004,0.991478,406046631.5607005,406046631.5607005,405697603
165,Conflux,0.0805,0.08109,0.077583,5611098931.404125,5026634204.325747,451331569
166,Chiliz,0.0425,0.04274475,0.04107551,9500398757.0,9500309833.0,403119709
167,THORChain,1.15,1.16,1.1,425713183.0,351692780.0,487374420
168,Arbitrum Bridged WETH (Arbitrum One),1844.47,1849.75,1779.39,216881.9904623549,216881.9904623549,399611790
169,Super OETH,1841.91,1849.98,1773.91,215880.2914640174,215880.2914640174,397248457
170,eCash,0.0,2.017e-05,1.933e-05,19845148422583.0,19845135922583.0,396755093
171,OUSG,110.49,110.49,110.49,3554015.401368925,3554015.401368925,392698860
172,Ondo US Dollar Yield,1.088,1.11,1.083,545331956.1609054,355856797.196778,593164164
173,ApeCoin,0.4766,0.481865,0.460891,1000000000.0,799455492.0,476336987
174,Virtuals Protocol,0.5851,0.625221,0.575301,1000000000.0,651171051.0571163,584578981
175,Beam,0.0071,0.0074699,0.00685659,59196501547.0,52410655848.0,422712033
177,NEO,5.29,6.0,4.97,100000000.0,70530000.0,528539093
176,StakeWise Staked ETH,1926.21,1928.66,1858.84,193500.9048595,193500.9048595,372713049
178,tBTC,83184.0,83573.0,81160.0,4454.64934644,4454.82734644,370448332
179,Polygon,0.2062,0.20901,0.200524,10000000000.0,1772579667.1282616,2060325855
180,Aerodrome Finance,0.4448,0.471441,0.432742,1560788060.84422,801425516.8508216,693782263
181,Reserve Rights,0.0063,0.00655429,0.00603246,100000000000.0,56070979799.0,632824596
182,Compound,39.59,39.6,38.05,10000000.0,8939998.72115937,395492854
183,Trust Wallet,0.845,0.872156,0.831425,1000000000.0,416649900.0,844250934
184,Pudgy Penguins,0.0056,0.00605202,0.00542338,76724221264.32516,62860396090.0,426171418
185,Frax,0.9994,0.999627,0.998994,348656596.4813211,348656596.4813211,348387806
186,Plume,0.1729,0.177089,0.165024,10000000000.0,2000000000.0,1728354916
187,Axelar,0.3654,0.374349,0.356322,1196458233.976736,941535175.061574,436801156
188,Safe,0.6058,0.613866,0.536217,1000000000.0,566906176.0,605900138
189,Mantle Bridged USDT (Mantle),1.001,1.008,0.994548,342783393.59351,342783393.59351,343128170
190,ether.fi Staked ETH,1842.54,1847.8,1776.51,2461398.749094019,183122.24748847305,4535085394
191,Lorenzo stBTC,82826.0,83137.0,80660.0,4062.833019403131,4062.833019403131,336086289
192,Cheems Token,0.0,1.69e-06,1.53e-06,203672952116214.47,203672952116214.47,330327852
193,cgETH Hashkey Cloud,1853.53,1853.94,1797.62,178228.0,178228.0,330287739
194,Terra Luna Classic,0.0001,6.195e-05,5.889e-05,6500908780171.787,5441372567445.627,392455656
195,Amp,0.0039,0.0039871,0.00375122,99669205039.99,84231346590.2867,385078202
196,Binance-Peg BUSD,1.002,1.006,0.99518,323477997.5096949,323477997.5096949,323911643
197,Onyxcoin,0.0094,0.01053997,0.00931537,48402437326.51888,33172498015.076496,455750200
198,Gnosis,120.49,122.17,117.61,3000000.0,2589589.0,361065301
199,LayerZero,2.78,3.02,2.64,1000000000.0,111152854.20763355,2773690474
200,JUST,0.031,0.03097694,0.03045172,9900000000.0,9900000000.0,307044981
201,Brett,0.0303,0.03101529,0.02945587,9909886699.21049,9909886699.21049,300543833
202,Akash Network,1.19,1.24,1.13,248288195.807791,247443076.710739,296055873
204,Mina Protocol,0.241,0.246991,0.23491,1223307784.840039,1223307784.840039,294761013
203,StakeStone Berachain Vault Token,1825.9,1831.92,1761.83,161179.7194666344,161179.7194666344,294180939
205,Morpho,1.22,1.26,1.17,1000000000.0,236645180.11088172,1220407408
206,Polygon PoS Bridged WETH (Polygon POS),1843.74,1847.58,1781.59,156777.4143102253,156777.4143102253,288490329
207,AIOZ Network,0.2449,0.252286,0.234211,1166561945.873377,1165143280.382257,285736172
208,Solayer,1.35,1.58,1.32,1000000000.0,210000000.0,1347352797
209,Verus,3.58,3.66,3.39,78596646.56468357,78596067.34010176,280714531
210,Creditcoin,0.6321,0.639737,0.604241,599999997.0,439416053.0,378555445
211,MX,2.92,2.93,2.81,418391834.0,94954334.0,1220916986
212,Dash,22.24,22.45,21.6,12204223.28947642,12202563.63274176,271474261
213,Ether.fi Staked BTC,83352.0,83541.0,80253.0,3247.97170925,3247.97170925,270510867
214,Polygon Bridged WBTC (Polygon POS),83291.0,83578.0,81261.0,3217.91395145,3217.91395145,267812668
215,USDD,0.9995,1.0,0.998478,263726199.0,263726199.0,263566939
216,Stader ETHx,1948.95,1951.1,1883.76,134460.365184714,134460.365184714,262026302
217,1inch,0.1898,0.191729,0.183885,1499999999.997,1378004081.438985,284456183
218,Coinbase Wrapped Staked ETH,2015.5,2020.73,1945.73,373334.0782232124,129251.0642682016,752207290
219,Synthetix Network,0.7652,0.786661,0.739062,339889850.0887736,339466216.9903987,259846117
221,Golem,0.2594,0.261604,0.251849,1000000000.0,1000000000.0,259357557
220,Kusama,15.91,16.01,15.37,16304560.1697041,16304330.34024644,259201885
222,Entangle,0.0004,0.00050472,0.00021187,843000000000.0,600879725899.9008,361760985
223,KAITO,1.056,1.085,1.012,1000000000.0,241388889.0,1051734181
224,SafePal,0.4996,0.500627,0.486934,500000000.0,500000000.0,249672899
225,Wormhole,0.0836,0.086686,0.080832,10000000000.0,2928912772.0,836153430
226,ZKsync,0.0667,0.068167,0.064767,21000000000.0,3675000000.0,1399232906
227,Swell Ethereum,2000.63,2005.74,1929.9,121326.478319651,121323.095741077,242792793
228,Blur,0.1062,0.107115,0.101313,3000000000.0,2270236661.482116,317792781
229,Venom,0.1173,0.117365,0.115811,7277446606.81,2044809197.423089,853483656
230,Theta Fuel,0.0346,0.037563,0.0339471,6891871639.0,6891708464.0,239591455
231,Notcoin,0.0023,0.00232575,0.00221971,102456956984.5639,102456956984.5639,238203586
232,Aethir,0.03,0.03088159,0.02879463,42000000000.0,7899322677.0,1255516054
233,Snek,0.0031,0.00315986,0.00298276,75383634253.0,74433634237.0,236992689
234,cat in a dogs world,0.0026,0.00271787,0.00245612,88888888888.88,88888888888.88,232269375
235,cWBTC,1676.0,1681.0,1634.17,138540.46662855,138540.46662855,231916266
236,Frax Ether,1821.9,1847.02,1776.53,126232.7502846723,126232.7502846723,229961544
237,Eigenlayer,0.9318,0.957817,0.892263,1716131545.248808,244494078.48882574,1595014350
238,SuperVerse,0.499,0.520105,0.480014,999998077.4169172,451694843.416917,498030497
239,Astar,0.0295,0.0304279,0.02870326,8384564013.0,7626838987.0,246892631
240,Saros,0.0852,0.087723,0.059974,10000000000.0,2624999826.0,852385354
241,Zilliqa,0.0113,0.01137799,0.01089461,20401034289.48994,19718078863.77994,230438568
242,MimbleWimbleCoin,20.26,20.3,19.84,10977845.2069404,10977690.5069404,222179786
243,Mask Network,2.21,2.21,2.17,100000000.0,100000000.0,221215897
244,Nervos Network,0.0047,0.00488642,0.00452572,46961389461.32445,46227226162.96457,221857369
245,ZetaChain,0.2983,0.305098,0.278649,2100000000.0,731645833.0,626261445
246,MEOW,0.0024,0.00248557,0.0023069,89999913118.34523,89999913118.34523,217362740
247,dYdX,0.639,0.654478,0.61029,337530485.7009173,337530485.7009173,215218800
248,WEMIX,0.5106,0.539804,0.508731,538672450.9026076,419078326.6551715,275240475
249,GHO,0.9997,0.999844,0.999343,213748028.4400473,213748028.4400473,213676613
250,aBTC,83309.0,84020.0,80577.0,2520.1612630284,2520.1612630284,209796419
251,AgentFun.AI,2.08,2.21,2.02,100000000.0,100000000.0,207444475
252,Quorium,2467.13,3116.06,2464.71,84000.0,84000.0,207222296
253,0x Protocol,0.2435,0.247491,0.234989,1000000000.0,848396562.906836,243316871
254,Echelon Prime,3.56,3.79,3.3,111111111.0,57938595.5159,394959742
255,Basic Attention,0.1373,0.138681,0.132982,1500000000.0,1495668356.9526057,205674280
256,Ket,0.205,0.213135,0.185037,1000000000.0,1000000000.0,204964893
257,Wrapped AVAX,18.88,19.35,18.25,10822297.81544502,10822297.81544502,204347593
258,USDa,0.998,1.0,0.996858,204390585.8771171,204390585.8771171,203984377
259,Qtum,1.93,1.96,1.89,107822406.0,105583434.0,207765484
260,Liquid Staked ETH,1982.81,1987.06,1915.49,101762.1374715454,101762.1374715454,201731150
261,Elixir deUSD,0.9994,1.0,0.999414,201350250.99,201420327.99,201311668
262,Arkham,0.5162,0.552694,0.502484,1000000000.0,387771388.0,515879923
263,Baby Doge Coin,0.0,1.23e-09,1.178e-09,4.2e+17,1.6546432314562102e+17,507555952
264,BTSE Token,1.23,1.24,1.18,200000000.0,162061501.0,246374525
265,VeThor,0.0023,0.00231017,0.00220439,87869207907.0,87838522314.0,199518235
266,Ripple USD,0.9995,1.009,0.995377,193692685.84,193692685.84,193594193
267,Stargate Finance,0.1993,0.202787,0.195694,1000000000.0,971464728.370142,199184488
268,Livepeer,4.92,4.98,4.72,39314836.40926985,39314836.40926985,193258315
269,KOGE,57.01,57.29,55.52,3388228.43399526,3388228.43399526,193210722
270,SwissBorg,0.1955,0.195375,0.183735,983102443.442,983102443.442,191935970
271,Vana,6.24,6.48,5.89,120000000.0,30800000.0,747720222
272,Oasis,0.0285,0.02888618,0.02761237,10000000000.0,6729795897.58809,285147411
273,Osmosis,0.2631,0.265131,0.254377,997420797.132338,718885415.567217,262364206
274,Global Dollar,1.0,1.0,0.999498,189048942.269999,189048942.269999,189062845
275,Celo,0.3347,0.353663,0.320765,1000000000.0,565268025.0,334451134
276,Trip,6.37,6.38,5.96,98000000.0,29500000.0,624392212
277,Decred,11.18,11.33,11.0,16711171.4943444,16711045.97352701,186873894
278,AI Companions,0.1886,0.210318,0.18353,1000000000.0,1000000000.0,186494670
279,CHEX Token,0.1859,0.190797,0.172253,998880187.5788856,998880187.5788856,185718583
280,Popcat,0.1889,0.197129,0.182346,979978669.96,979978669.96,185033440
282,Peanut the Squirrel,0.1835,0.185758,0.171489,999858912.07,999858912.07,183434358
281,Holo,0.001,0.00104312,0.00100207,177619433541.1413,177619433541.1413,182816338
283,ai16z,0.1654,0.168442,0.157216,1099998749.050874,1099998749.050874,181122477
284,APF coin,1.058,1.062,1.049,250000000.0,170268683.7504873,264424970
285,Act I The AI Prophecy,0.1894,0.1904,0.188373,948245521.275793,948245521.275793,179615866
286,OriginTrail,0.3586,0.384967,0.334808,500000000.0,499296231.602,179217641
287,Ankr Network,0.0178,0.01813813,0.01719605,10000000000.0,10000000000.0,177843303
288,Staked Frax Ether,2061.97,2060.12,1989.97,86208.4632485603,86208.4632485603,177707774
289,Moca Network,0.0815,0.097828,0.081567,8888888888.0,2171661783.68,725129073
290,ORDI,8.44,8.51,8.2,21000000.0,21000000.0,176972972
291,Fluid,4.45,4.46,4.29,100000000.0,39436803.20056228,445213451
292,BENQI Liquid Staked AVAX,22.57,23.12,21.83,7744601.072686452,7744601.072686452,174662591
293,Frax Share,1.95,2.02,1.88,99681495.5911336,88924243.23712113,194134890
294,Convex Finance,2.09,2.09,1.93,99862572.7410326,81990703.72425415,208938020
295,Freysa AI,0.0209,0.02128809,0.02052221,8189700000.0,8189700000.0,170852012
296,Drift Protocol,0.5831,0.599441,0.56345,1000000000.0,293017680.965683,582329806
297,Gigachad,0.0178,0.01845887,0.01552777,9604136902.35,9604136902.35,170485014
298,Siacoin,0.003,0.00308483,0.00295735,59947125676.30304,56025636522.07519,181556903
299,aelf,0.2293,0.230812,0.226406,996446874.8525363,739355757.3867264,228435157
300,RCGE,0.0142,None,None,11875000000.0,11875000000.0,168805259
301,CoinEx,0.0622,0.064629,0.061997,2708830784.87,2708830204.87,168790174
302,Rollbit Coin,0.0775,0.077687,0.073548,2172492554.230044,2172492554.230044,168395133
303,Ravencoin,0.0111,0.01138657,0.01067404,14987570467.8947,14985037967.8947,166544149
304,Bridged Ether (StarkGate),1844.71,1848.63,1781.89,88721.3955964026,88721.3955964026,163691047
305,Sun Token,0.0166,0.01669289,0.01611801,19900730000.0,9832289645.096413,330877330
306,yearn.finance,4840.46,4880.91,4715.01,36666.0,33788.92236316312,177360840
307,GoMining Token,0.3978,0.399316,0.388999,410348187.0762108,410348187.0762108,163238313
308,IoTeX,0.0173,0.01786057,0.01696243,9441369062.0,9441369057.0,162925107
309,Dog (Bitcoin),0.0016,0.00167123,0.00158813,100000000000.0,100000000000.0,162904404
310,SATS (Ordinals),0.0,8.4626e-08,7.5756e-08,2100000000000000.0,2100000000000000.0,161885329
311,Treehouse ETH,2212.15,2211.07,2134.25,72558.40203258689,72558.40203258689,160384030
312,Chia,11.04,11.04,10.51,32890603.52090786,14515814.07453893,362928633
313,Mog Coin,0.0,4.21729e-07,3.91264e-07,390567524379062.56,390567524379062.56,158878134
314,Gas,2.44,2.66,2.34,65093580.54427269,65093580.54427269,158445792
315,Harmony,0.0109,0.01109062,0.01041879,14561946157.26291,14512305554.7629,158348044
316,DeepBook,0.0629,0.066663,0.058518,10000000000.0,2500000000.0,627672650
317,Metaplex,0.1996,0.204,0.196656,1000000000.0,781199069.95641,199560990
318,Polymesh,0.1352,0.138041,0.129192,1147421639.782602,1147421639.782602,155768287
319,Threshold Network,0.0154,0.01558142,0.01497693,11155000000.0,10126069957.18457,171488770
322,DigiByte,0.0088,0.00890509,0.00832384,17613301566.87476,17613262596.12372,154334382
320,Constellation,0.0434,0.04621645,0.04291021,3550000000.0,3549997434.97413,154105056
321,Tribe,0.3381,0.340032,0.334795,1000000000.0,455015530.80485964,338018741
323,EthereumPoW,1.39,1.41,1.34,107818717.04993,107818717.04993,150716956
324,EURC,1.081,1.085,1.078,138819785.1629826,138819785.1629826,150040762
325,Enjin Coin,0.0816,0.084239,0.07923,1883123662.528307,1823726466.559459,153474440
326,NEM,0.0164,0.01696806,0.0161153,8999999999.0,8999999999.0,147344322
